dataId,genre
103022,Comedy
103022,Drama
103022,Romance
103023,Comedy
103023,Drama
103024,Biography
103024,Comedy
103025,Comedy
103025,Drama
103026,Mystery
103026,Thriller
103027,Crime
103027,Thriller
103027,Action
103028,Crime
103028,Horror
103028,Thriller
103029,Animation
103029,Short
103029,Adventure
103030,Action
103030,Crime
103030,Drama
103031,Horror
103032,Crime
103032,Drama
103032,Romance
103033,Adventure
103033,Comedy
103033,Family
103034,Drama
103035,Biography
103035,Crime
103035,Drama
103036,Adventure
103036,Comedy
103036,Romance
103037,Adventure
103037,Horror
103038,Crime
103038,Drama
103038,Thriller
103039,Documentary
103040,Drama
103041,Drama
103041,Horror
103041,Thriller
103042,Comedy
103043,Thriller
103044,Crime
103044,Drama
103045,Short
103045,Action
103045,Drama
103046,Crime
103046,Drama
103046,Horror
103047,Drama
103048,Adventure
103048,Drama
103048,Family
103049,Drama
103050,Crime
103050,Drama
103050,Mystery
103051,Action
103051,Comedy
103051,Crime
103052,Comedy
103053,Adventure
103053,History
103053,Romance
103054,Drama
103054,Romance
103055,Comedy
103055,Horror
103056,Animation
103056,Action
103056,Drama
103057,Action
103057,Horror
103057,Mystery
103058,Action
103058,Comedy
103058,Horror
103059,Thriller
103060,Drama
103060,Thriller
103060,Action
103061,Romance
103062,Comedy
103062,Drama
103063,Comedy
103063,Drama
103064,Comedy
103064,Drama
103064,Romance
103065,Documentary
103066,Action
103066,Mystery
103066,Thriller
103067,Horror
103067,Mystery
103067,Thriller
103068,Action
103068,Adventure
103068,Comedy
103069,Action
103069,Crime
103069,Drama
103070,Thriller
103071,Crime
103071,Horror
103071,Mystery
103072,Comedy
103073,Drama
103074,Comedy
103074,Drama
103074,Film-Noir
103075,Drama
103075,Thriller
103076,Western
103077,Documentary
103077,Sport
103078,Drama
103078,War
103079,Drama
103079,Romance
103080,Thriller
103081,Comedy
103082,Western
103083,Drama
103083,Romance
103084,Short
103084,Comedy
103085,Horror
103085,Thriller
103086,Horror
103087,Horror
103088,Horror
103089,Comedy
103089,Musical
103089,War
103090,Short
103090,Comedy
103090,Drama
103091,Comedy
103091,Crime
103091,Drama
103092,Comedy
103092,Drama
103093,Crime
103093,Drama
103093,Mystery
103094,Drama
103095,Action
103095,Comedy
103095,Crime
103096,Comedy
103096,Drama
103097,Horror
103098,Crime
103098,Mystery
103098,Thriller
103099,Thriller
103100,Action
103100,Comedy
103101,Crime
103101,Family
103102,Drama
103103,Documentary
103104,Action
103104,Crime
103104,Drama
103105,Action
103105,Drama
103105,Crime
103106,Documentary
103107,Animation
103107,Family
103107,Short
103108,Drama
103109,Adventure
103109,Comedy
103110,Drama
103110,Musical
103110,Romance
103111,Drama
103111,Romance
103112,Documentary
103113,Drama
103113,Thriller
103114,Drama
103115,Drama
103115,Romance
103116,Drama
103117,Documentary
103117,Sport
103118,Comedy
103119,Horror
103120,Drama
103120,Romance
103121,Family
103122,Drama
103123,Animation
103123,Short
103123,Comedy
103124,Comedy
103124,Short
103125,Horror
103125,Sci-Fi
103126,Comedy
103127,Comedy
103127,Drama
103128,Family
103128,Animation
103128,Short
103129,Comedy
103129,Drama
103130,Short
103130,Drama
103131,Comedy
103132,Short
103133,Comedy
103134,Comedy
103134,Family
103135,Drama
103135,History
103136,Documentary
103137,Action
103137,Adventure
103137,Drama
103138,Animation
103138,Adventure
103138,Family
103139,Drama
103139,War
103140,Drama
103141,Comedy
103142,Action
103143,Action
103143,Romance
103143,War
103144,Drama
103145,Horror
103145,Mystery
103145,Thriller
103146,Crime
103146,Horror
103146,Sci-Fi
103147,Documentary
103147,War
103148,Comedy
103148,Family
103148,Romance
103149,Drama
103149,Romance
103149,Thriller
103150,Action
103150,Comedy
103150,Drama
103151,Drama
103151,Mystery
103151,Thriller
103152,Drama
103153,Comedy
103153,Drama
103154,Drama
103154,Horror
103154,Thriller
103155,Drama
103156,Romance
103157,Documentary
103158,Drama
103159,Drama
103159,Music
103160,Thriller
103161,Documentary
103162,Documentary
103162,Short
103163,Crime
103163,Drama
103164,Horror
103164,Sci-Fi
103164,Thriller
103165,Animation
103166,Horror
103167,Crime
103167,Thriller
103167,Horror
103168,Drama
103168,Thriller
103169,Thriller
103170,Action
103170,Crime
103170,Drama
103171,Crime
103171,Thriller
103172,Documentary
103172,Biography
103172,History
103173,Documentary
103174,Drama
103175,Comedy
103176,Crime
103176,Drama
103176,Thriller
103177,Biography
103177,Drama
103177,Film-Noir
103178,Horror
103179,Adventure
103179,Drama
103179,Romance
103180,Crime
103180,Drama
103180,Film-Noir
103181,Documentary
103182,Drama
103183,Documentary
103184,Animation
103184,Family
103184,Short
103185,Drama
103186,Music
103187,Short
103187,Comedy
103187,Romance
103188,Action
103188,Crime
103188,Drama
103189,Short
103189,Comedy
103189,Musical
103190,Drama
103191,Documentary
103191,History
103192,Short
103192,Drama
103193,Comedy
103194,Documentary
103194,Biography
103194,Comedy
103195,Sci-Fi
103196,Western
103197,Action
103197,Drama
103197,War
103198,Fantasy
103198,Sci-Fi
103198,Thriller
103199,Animation
103199,Comedy
103199,Family
103200,Drama
103200,War
103201,Comedy
103201,Short
103202,Documentary
103203,Action
103203,Drama
103203,Romance
103204,Drama
103205,Family
103205,Animation
103205,Short
103206,Comedy
103206,Short
103207,Action
103208,Drama
103209,Comedy
103209,Thriller
103210,Comedy
103211,Adventure
103211,Drama
103211,Family
103212,Short
103212,Sci-Fi
103213,Drama
103214,Horror
103214,Comedy
103214,Romance
103215,Comedy
103216,Comedy
103216,Drama
103217,Drama
103218,Documentary
103218,Biography
103218,Comedy
103219,Comedy
103219,Romance
103220,Action
103220,Musical
103220,Thriller
103221,Crime
103221,Drama
103222,Short
103222,Comedy
103222,Sci-Fi
103223,Comedy
103223,Drama
103224,Drama
103224,Thriller
103225,Adventure
103225,Comedy
103225,Family
103226,Family
103226,Animation
103226,Short
103227,Comedy
103227,Drama
103228,Drama
103229,Drama
103229,Comedy
103229,Romance
103230,Documentary
103230,Biography
103230,History
103231,Action
103231,Drama
103231,Thriller
103232,Documentary
103232,Comedy
103233,Short
103233,Drama
103233,War
103234,Comedy
103234,Drama
103234,Romance
103235,Documentary
103235,Biography
103236,Documentary
103236,Biography
103237,Drama
103238,Action
103238,Drama
103239,Comedy
103239,Crime
103239,Drama
103240,Short
103241,Short
103241,Comedy
103242,Comedy
103243,Short
103243,Crime
103243,Drama
103244,Comedy
103244,Short
103245,Drama
103246,Drama
103246,Family
103246,Musical
103247,Drama
103247,Romance
103248,Comedy
103249,Comedy
103249,Drama
103249,Romance
103250,Drama
103251,Action
103251,Adventure
103251,Comedy
103252,Comedy
103252,Romance
103253,Crime
103253,Drama
103253,Mystery
103254,Documentary
103255,Comedy
103255,Romance
103256,Drama
103257,Drama
103257,Music
103257,Romance
103258,Comedy
103259,Drama
103260,Drama
103261,Drama
103262,Action
103262,Comedy
103263,Horror
